Dot Point Measurements																									
																									
"Generated: Tuesday, November 20, 2018 15:07:32"																									
																									
Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	Broad	Morphology	Type	FieldOfView	Relief	Bedforms	Bedform.type	CODE	Radius %
POC11003_L375.avi	13644	2007.3013	944	960													Unconsolidated	Sand / mud (fine sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.	Bioturbated		82001015	46.6
POC11003_L375.avi	13644	2007.3013	136	1344													Open Water			Open					64.3
POC11003_L375.avi	13644	2007.3013	405	1344													Open Water			Open					46.9
POC11003_L375.avi	13644	2007.3013	675	1344													Unconsolidated	Sand / mud (fine sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.	Bioturbated		82001015	46.9
POC11003_L375.avi	13644	2007.3013	944	1344													Unconsolidated	Sand / mud (fine sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.	Bioturbated		82001015	64.3
POC11003_L375.avi	13644	2007.3013	136	1727													Open Water			Open					100
POC11003_L375.avi	13644	2007.3013	405	1727													Open Water			Open					89.8
POC11003_L375.avi	13644	2007.3013	675	1727													Unconsolidated	Sand / mud (fine sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.	Bioturbated		82001015	89.8
POC11003_L375.avi	13644	2007.3013	944	1727													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	Bioturbated		82001015	100
POC11004_R368.avi	27832	2113.1427	136	193													Open Water			Open					100
POC11004_R368.avi	27832	2113.1427	405	193													Open Water			Open					89.8
POC11004_R368.avi	27832	2113.1427	675	193													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	89.8
POC11004_R368.avi	27832	2113.1427	944	193													Unconsolidated	Sand / mud (fine sand)		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.	None		82001015	100
POC11004_R368.avi	27832	2113.1427	136	576													Open Water			Open					64.3
POC11004_R368.avi	27832	2113.1427	405	576													Open Water			Open					46.9
POC11004_R368.avi	27832	2113.1427	675	576													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	46.9
POC11004_R368.avi	27832	2113.1427	944	576													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	Bioturbated		82001015	64.3
POC11004_R368.avi	27832	2113.1427	136	960													Open Water			Open					46.6
POC11004_R368.avi	27832	2113.1427	405	960													Open Water			Open					15.5
POC11004_R368.avi	27832	2113.1427	675	960													Unconsolidated	Sand / mud (coarse sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001014	15.5
POC11004_R368.avi	27832	2113.1427	944	960													Unconsolidated	Sand / mud (coarse sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001014	46.6
POC11004_R368.avi	27832	2113.1427	136	1344													Open Water			Open					64.3
POC11004_R368.avi	27832	2113.1427	405	1344													Open Water			Open					46.9
POC11004_R368.avi	27832	2113.1427	675	1344													Unconsolidated	Sand / mud (coarse sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001014	46.9
POC11004_R368.avi	27832	2113.1427	944	1344													Unconsolidated	Sand / mud (coarse sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001014	64.3
