OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
POC12007	2	0	1767.87515	498.46154	1885.42617	406.15385
POC12007	2	1	1448.64346	465.92308	1598.46339	379.61538
POC12007	3	0	1499.48619	593.53846	1664.15366	515.00000
POC12007	3	1	1295.50060	594.69231	1454.40576	515.00000
POC12007	4	0	1518.94358	493.84615	1782.85714	401.92308
POC12007	4	1	1412.91717	493.69231	1652.62905	404.23077
POC12007	5	0	1553.51741	489.23077	1820.88836	396.92308
POC12007	5	1	1440.57623	484.61538	1689.50780	396.92308
POC12007	6	0	1114.02401	369.84615	1358.81393	283.38462
POC12007	6	1	857.02521	354.84615	1145.60864	275.30769
POC25002	0	0	310.26233	713.28358	36.26443	693.13433
POC25002	1	0	645.35737	772.31121	283.11655	758.71854
POC25002	2	0	728.19060	589.42792	280.64392	585.72082
POC25002	3	0	91.48744	574.59954	247.26336	562.24256
POC25002	4	0	406.96747	679.02985	68.49948	666.94030
POC25002	5	0	1645.53767	610.43478	1390.85641	628.97025
POC25002	6	0	1484.82686	159.17910	1190.68206	143.05970
POC25002	7	0	1172.54984	12.08955	821.99370	16.11940
POC25002	8	0	203.99227	662.33410	4.94527	652.44851
POC25002	9	0	471.43757	687.08955	102.74921	679.02985
POC25002	9	1	961.00735	590.37313	479.49633	578.28358
POC25002	10	0	160.72118	679.63387	29.67160	662.33410
POC25002	11	0	300.18888	306.26866	32.23505	326.41791
POC25002	12	0	237.73347	225.67164	16.11752	253.88060
POC25002	13	0	692.33741	696.93364	390.67611	683.34096
POC25002	13	1	435.18352	495.51487	187.92015	518.99314
POC25002	14	0	809.90556	642.76119	509.71668	636.71642
POC25002	14	1	531.87828	447.31343	292.13012	455.37313
POC25002	15	0	1629.88458	666.94030	1067.78594	656.86567
POC25002	15	1	799.83211	213.58209	658.80378	219.62687
POC25002	16	0	1815.23610	515.82090	1706.44281	525.89552
POC25002	17	0	1314.96537	410.43284	985.96327	421.11940
POC25002	17	1	721.63903	253.26866	427.89402	272.01493
POC25002	18	0	1177.76076	213.58209	921.86359	208.54478
POC25002	18	1	709.10598	31.23134	452.14376	57.42537
POC25002	19	0	417.04092	259.92537	183.33683	282.08955
POC25002	20	0	712.51102	269.95522	483.52571	290.14925
POC25002	20	1	400.23400	133.94776	100.73452	179.32836
