OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
POC13004	0	0	0.00000	0	POC13004_L367.avi	147864	25.00000
POC13004	1	0	0.00000	0	POC13004_R368.avi	98808	25.00000
POC24010	0	0	0.00000	0	POC24010_L376.avi	163428	25.00000
POC24010	1	0	0.00000	0	POC24010_R375.avi	160860	25.00000
POC12007	0	0	0.00000	0	POC12007_R375.avi	128711	25.00000
POC12007	1	0	0.00000	0	POC12007_L376.avi	130416	25.00000
POC25002	0	0	0.00000	0	POC25002_R373.avi	128772	25.00000
POC25002	1	0	0.00000	0	POC25002_L374.avi	128676	25.00000
POC24008	0	0	0.00000	0	POC24008_L377.avi	143039	25.00000
POC24008	1	0	0.00000	0	POC24008_R378.avi	139884	25.00000
POC13001	0	0	0.00000	0	POC13001_L377.avi	121619	25.00000
POC13001	1	0	0.00000	0	POC13001_R378.avi	121091	25.00000
POC25004	0	0	0.00000	0	POC25004_R372.avi	159838	25.00000
POC25004	1	0	0.00000	0	POC25004_L371.avi	156408	25.00000
POC25004	1	0	0.00000	0	POC25004_R372.avi	159838	25.00000
POC37004	0	0	0.00000	0	POC37004_R373.avi	132852	25.00000
POC37004	1	0	0.00000	0	POC37004_L374.avi	149531	25.00000
POC13002	0	0	0.00000	0	POC13002_L373.avi	127860	25.00000
POC13002	1	0	0.00000	0	POC13002_R374.avi	127152	25.00000
POC26005	0	0	0.00000	0	POC26005_L367.avi	143280	25.00000
POC26005	1	0	0.00000	0	POC26005_R368.avi	154764	25.00000
POC12009	0	0	0.00000	0	POC12009_R378.avi	151007	25.00000
POC12009	1	0	0.00000	0	POC12009_L377.avi	147132	25.00000
POC13007	0	0	0.00000	0	POC13007_L378.avi	134868	25.00000
POC13007	1	0	0.00000	0	POC13007_R377.avi	131472	25.00000
POC38004	0	0	0.00000	0	POC38004_L371.avi	147930	25.00000
POC38004	1	0	0.00000	0	POC38004_R372.avi	144408	25.00000
POC13009	0	0	0.00000	0	POC13009_L375.avi	132816	25.00000
POC13009	1	0	0.00000	0	POC13009_R376.avi	147664	25.00000
POC39002	0	0	0.00000	0	POC39002_L371.avi	125868	25.00000
POC39002	1	0	0.00000	0	POC39002_R372.avi	126107	25.00000
POC38002	0	0	0.00000	0	POC38002_L374.avi	128484	25.00000
POC38002	1	0	0.00000	0	POC38002_R373.avi	124656	25.00000
POC24009	0	0	0.00000	0	POC24009_L374.avi	154152	25.00000
POC24009	1	0	0.00000	0	POC24009_R373.avi	151296	25.00000
POC12001	0	0	0.00000	0	POC12001_L371.avi	127727	25.00000
POC12001	1	0	0.00000	0	POC12001_R372.avi	125088	25.00000
POC11013	0	0	0.00000	0	POC11013_L.avi	137182	25.00000
POC11013	1	0	0.00000	0	POC11013_R.avi	137327	25.00000
POC11002	0	0	0.00000	0	POC11002_L373.avi	144036	25.00000
POC11002	1	0	0.00000	0	POC11002_R374.avi	144272	25.00000
POC38005	0	0	0.00000	0	POC38005_L367.avi	160031	25.00000
POC38005	1	0	0.00000	0	POC38005_R368.avi	160258	25.00000
POC13005	0	0	0.00000	0	POC13005_R372.avi	132816	25.00000
POC13005	1	0	0.00000	0	POC13005_L371.avi	143232	25.00000
POC37003	0	0	0.00000	0	POC37003_L378.avi	139776	25.00000
POC37003	1	0	0.00000	0	POC37003_R377.avi	139836	25.00000
POC37005	0	0	0.00000	0	POC37005_R375.avi	150384	25.00000
POC37005	1	0	0.00000	0	POC37005_L376.avi	162215	25.00000
POC39001	0	0	0.00000	0	POC39001_L367.avi	120164	25.00000
POC39001	1	0	0.00000	0	POC39001_R368.avi	119736	25.00000
POC12002	0	0	0.00000	0	POC12002_L367.avi	137375	25.00000
POC12002	1	0	0.00000	0	POC12002_R368.avi	133572	25.00000
POC11014	0	0	0.00000	0	POC11014_R.avi	147947	25.00000
POC11014	1	0	0.00000	0	POC11014_L.avi	147912	25.00000
POC11009	0	0	0.00000	0	POC11009_L376.avi	161507	25.00000
POC11009	1	0	0.00000	0	POC11009_R375.avi	160608	25.00000
POC11011	0	0	0.00000	0	POC11011_L376.avi	122843	25.00000
POC11011	1	0	0.00000	0	POC11011_R375.avi	119760	25.00000
POC24006	0	0	0.00000	0	POC24006_L367.avi	120000	25.00000
POC24006	1	0	0.00000	0	POC24006_R368.avi	120058	25.00000
POC11003	0	0	0.00000	0	POC11003_L375.avi	144574	25.00000
POC11003	1	0	0.00000	0	POC11003_R376.avi	141984	25.00000
POC12003	0	0	0.00000	0	POC12003_L375.avi	147623	25.00000
POC12003	1	0	0.00000	0	POC12003_R376.avi	146195	25.00000
POC11004	0	0	0.00000	0	POC11004_R368.avi	152420	25.00000
POC13008	0	0	0.00000	0	POC13008_R373.avi	146337	25.00000
POC13008	0	0	0.00000	0	POC13008_L374.avi	132816	25.00000
POC13008	1	0	0.00000	0	POC13008_L374.avi	132816	25.00000
POC13010	0	0	0.00000	0	POC13010_L368.avi	158793	25.00000
POC11012	0	0	0.00000	0	POC11012_L374.avi	129924	25.00000
POC11012	1	0	0.00000	0	POC11012_R373.avi	130608	25.00000
POC11015	0	0	0.00000	0	POC11015_L367.avi	134304	25.00000
POC11015	1	0	0.00000	0	POC11015_R368.avi	156552	25.00000
POC12010	0	0	0.00000	0	POC12010_L372.avi	162720	25.00000
POC12010	1	0	0.00000	0	POC12010_R371.avi	163847	25.00000
POC26003	0	0	0.00000	0	POC26003_L377.avi	133128	25.00000
POC26003	1	0	0.00000	0	POC26003_R378.avi	132923	25.00000
POC26001	0	0	0.00000	0	POC26001_L376.avi	120588	25.00000
POC26001	1	0	0.00000	0	POC26001_R375.avi	117156	25.00000
POC25001	0	0	0.00000	0	POC25001_L375.avi	129960	25.00000
POC25001	1	0	0.00000	0	POC25001_R376.avi	129574	25.00000
POC24007	0	0	0.00000	0	POC24007_L371.avi	130512	25.00000
POC24007	1	0	0.00000	0	POC24007_R372.avi	130464	25.00000
POC12006	0	0	0.00000	0	POC12006_R368.avi	124066	25.00000
POC12006	1	0	0.00000	0	POC12006_L367.avi	107712	25.00000
POC39004	0	0	0.00000	0	POC39004_L374.avi	151320	25.00000
POC39004	1	0	0.00000	0	POC39004_R373.avi	132960	25.00000
POC38001	0	0	0.00000	0	POC38001_L376.avi	121896	25.00000
POC38001	1	0	0.00000	0	POC38001_R375.avi	118210	25.00000
POC25005	0	0	0.00000	0	POC25005_R368.avi	171288	25.00000
POC25005	1	0	0.00000	0	POC25005_L367.avi	171708	25.00000
POC37002	0	0	0.00000	0	POC37002_R372.avi	128868	25.00000
POC37002	1	0	0.00000	0	POC37002_L371.avi	128892	25.00000
POC13003	0	0	0.00000	0	POC13003_L375.avi	135696	25.00000
POC13003	1	0	0.00000	0	POC13003_R376.avi	138947	25.00000
POC12005	0	0	0.00000	0	POC12005_L377.avi	160713	25.00000
POC12005	1	0	0.00000	0	POC12005_R378.avi	160392	25.00000
POC12004	0	0	0.00000	0	POC12004_L.avi	161083	25.00000
POC12004	1	0	0.00000	0	POC12004_R.avi	154799	25.00000
POC12008	0	0	0.00000	0	POC12008_L373.avi	141754	25.00000
POC12008	1	0	0.00000	0	POC12008_R374.avi	138000	25.00000
POC39005	0	0	0.00000	0	POC39005_L376.avi	166426	25.00000
POC11001	0	0	0.00000	0	POC11001_L378.avi	147562	25.00000
POC11001	1	0	0.00000	0	POC11001_R377.avi	147239	25.00000
POC37001	0	0	0.00000	0	POC37001_R368.avi	119460	25.00000
POC37001	1	0	0.00000	0	POC37001_L367.avi	119024	25.00000
POC39003	0	0	0.00000	0	POC39003_L377.avi	136296	25.00000
POC39003	1	0	0.00000	0	POC39003_R378.avi	136258	25.00000
POC11005	0	0	0.00000	0	POC11005_L372.avi	158183	25.00000
POC11005	1	0	0.00000	0	POC11005_R371.avi	156383	25.00000
POC26002	0	0	0.00000	0	POC26002_L374.avi	127080	25.00000
POC26004	0	0	0.00000	0	POC26004_R372.avi	141324	25.00000
POC26004	1	0	0.00000	0	POC26004_L371.avi	133056	25.00000
