Sample,Date,Time,Depth,Location,Site,Status,Latitude,Longitude,Observer,Successful.count,Successful.length
POC24006,20181028,11:50,123,2,4,Fished,-18.78394655,118.696501,Fernanda Rolim,Yes,Yes
POC24007,20181028,11:57,123,2,4,Fished,-18.77947376,118.6965424,Fernanda Rolim,Yes,Yes
POC24008,20181028,12:05,123,2,4,Fished,-18.78375306,118.70129,Fernanda Rolim,Yes,Yes
POC24009,20181028,12:13,122,2,4,Fished,-18.78855928,118.696895,Fernanda Rolim,Yes,Yes
POC24010,20181028,12:21,122,2,4,Fished,-18.7838326,118.6916853,Fernanda Rolim,Yes,Yes
POC11011,20181029,6:04,123,1,1,Fished,-19.03112569,117.9379232,Michael Brooker,Yes,Yes
POC11012,20181029,6:12,125,1,1,Fished,-19.02643438,117.9382437,Michael Brooker,Yes,Yes
POC11013,20181029,6:19,124,1,1,Fished,-19.0310249,117.9429286,Matt Hammond,Yes,Yes
POC11014,20181029,6:26,121,1,1,Fished,-19.0354754,117.9384762,Matt Hammond,Yes,Yes
POC11015,20181029,6:33,124,1,1,Fished,-19.03117397,117.9335458,Matt Hammond,Yes,Yes
